job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
921716,20.0,Full-time,Not Specified,38480.0,Marketing,NJ
1829192,1.0,Full-time,Not Specified,83200.0,Healthcare,CO
10998357,8.0,Full-time,Not Specified,55000.0,Management/Executive,OH
23221523,16.0,Full-time,Not Specified,157500.0,Senior/Lead,NY
35982263,3.0,Full-time,Not Specified,70000.0,Technical/Trades,IA
91700727,9.0,Internship,Not Specified,35360.0,Other,NC
103254301,7.0,Contract,Not Specified,180000.0,Other,US - Unspecified
112576855,2.0,Full-time,Not Specified,105000.0,Engineering,CA
95428182,1.0,Full-time,Not Specified,52000.0,Administrative/Office Support,OH
103860943,3.0,Part-time,Not Specified,38480.0,Customer Service/Support,RI
227832999,3.0,Full-time,Not Specified,43680.0,Other,PA
229924287,3.0,Part-time,Not Specified,47840.0,Administrative/Office Support,MA
266566927,13.0,Full-time,Not Specified,65000.0,Marketing,CO
266825034,0.0,Full-time,Not Specified,62500.0,Customer Service/Support,VA
280496925,7.0,Full-time,Not Specified,53268.0,Administrative/Office Support,WA
445337908,7.0,Full-time,Not Specified,100000.0,Management/Executive,AK
606178500,3.0,Full-time,Not Specified,120000.0,Legal,HI
705356075,2.0,Full-time,Not Specified,54080.0,Other,International/Other
805229245,1.0,Full-time,Not Specified,137500.0,Management/Executive,AZ
857299959,2.0,Full-time,Not Specified,65000.0,Sales,NJ
1014822088,7.0,Full-time,Not Specified,75000.0,Marketing,US - Unspecified
1093227543,71.0,Full-time,Not Specified,90000.0,Sales,FL
1143359956,52.0,Full-time,Not Specified,80000.0,Management/Executive,CA
1183148438,2.0,Full-time,Not Specified,61000.0,Senior/Lead,TX
1219205895,13.0,Full-time,Not Specified,130000.0,Management/Executive,NY
1448163866,3.0,Full-time,Not Specified,67500.0,Management/Executive,CA
1826257634,60.0,Full-time,Not Specified,45760.0,Other,International/Other
2147609712,1.0,Full-time,Not Specified,117332.8,Healthcare,CA
2147609766,1.0,Full-time,Not Specified,110000.0,Sales,UT
2147609840,2.0,Temporary,Not Specified,46800.0,Other,MO
2404832493,8.0,Full-time,Not Specified,50960.0,Sales,CA
2558399667,0.0,Contract,Mid-Senior level,135200.0,Engineering,CA
2737009242,1.0,Full-time,Not Specified,85000.0,Management/Executive,CA
2748500131,2.0,Full-time,Not Specified,142812.8,Management/Executive,TN
2796728000,9.0,Full-time,Not Specified,70720.0,Design,CA
2914254129,10.0,Full-time,Not Specified,57500.0,Management/Executive,IN
2920450495,4.0,Full-time,Not Specified,65000.0,Administrative/Office Support,NE
2954591060,23.0,Full-time,Not Specified,55120.0,Marketing,CA
2957460032,5.0,Full-time,Not Specified,67600.0,Technical/Trades,NE
2974397965,3.0,Full-time,Not Specified,80000.0,Marketing,TX
2989631782,1.0,Full-time,Associate,82500.0,Administrative/Office Support,NY
3040487795,7.0,Internship,Not Specified,52000.0,Marketing,WA
3045980831,4.0,Full-time,Not Specified,75000.0,Engineering,HI
3075721793,0.0,Full-time,Not Specified,55000.0,Management/Executive,NM
3177010992,6.0,Full-time,Entry level,90000.0,Customer Service/Support,FL
3184403524,5.0,Internship,Not Specified,50400.0,Administrative/Office Support,TX
3189117072,6.0,Full-time,Not Specified,85000.0,Management/Executive,CA
3196627399,2.0,Part-time,Not Specified,35360.0,Marketing,WA
3211657373,25.0,Full-time,Not Specified,55120.0,Technical/Trades,CO
3219089287,40.0,Full-time,Not Specified,95000.0,Management/Executive,International/Other
3260455681,18.0,Full-time,Not Specified,90927.5,Other,WA
3273249702,1.0,Full-time,Not Specified,135000.0,Other,CA
3277232283,59.0,Full-time,Not Specified,63500.0,HR/Recruiting,US - Unspecified
3297645846,6.0,Full-time,Not Specified,82200.0,Other,CO
3322949022,4.0,Full-time,Not Specified,20000.5,Management/Executive,CO
3363439517,9.0,Full-time,Not Specified,54080.0,Management/Executive,CA
3398076960,25.0,Full-time,Not Specified,155000.0,Management/Executive,US - Unspecified
3422171886,1.0,Full-time,Not Specified,57200.0,Management/Executive,TX
3438976411,22.0,Full-time,Not Specified,47500.0,Finance,MT
3447180215,14.0,Full-time,Not Specified,45000.0,Other,US - Unspecified
3466187886,3.0,Full-time,Not Specified,75000.0,Other,US - Metro Area (Unspecified State)
3487703305,2.0,Part-time,Not Specified,46800.0,Other,CA
3511440340,3.0,Full-time,Not Specified,57200.0,Management/Executive,WA
3514683108,1.0,Full-time,Not Specified,82500.0,Management/Executive,MA
3527189387,7.0,Full-time,Not Specified,31200.0,Sales,FL
3530975184,3.0,Full-time,Not Specified,72644.0,Other,NY
3537193915,3.0,Full-time,Not Specified,51000.0,Other,CA
3548616699,24.0,Part-time,Not Specified,114400.0,Healthcare,PA
3550388220,13.0,Contract,Associate,38480.0,Other,VA
3564676727,5.0,Full-time,Not Specified,100000.0,Finance,PA
3578562287,16.0,Contract,Not Specified,46800.0,Education,MD
3580545157,3.0,Full-time,Not Specified,75000.0,Management/Executive,US - Unspecified
3581219846,2.0,Part-time,Not Specified,83200.0,Education,DC
3582587683,3.0,Full-time,Not Specified,35000.0,Data/Analytics,PA
3592392532,3.0,Full-time,Not Specified,60000.0,Engineering,NJ
3592869068,3.0,Temporary,Not Specified,74880.0,Other,CA
3606129051,3.0,Full-time,Not Specified,286000.0,Senior/Lead,CA
3606634863,3.0,Full-time,Not Specified,94192.8,Other,CA
3609090859,22.0,Full-time,Not Specified,77500.0,Management/Executive,AZ
3610032286,10.0,Full-time,Not Specified,65407.0,Sales,International/Other
3610596223,4.0,Full-time,Not Specified,43680.0,Administrative/Office Support,International/Other
3614817348,2.0,Full-time,Associate,69680.0,Other,US - Metro Area (Unspecified State)
3619548798,3.0,Full-time,Mid-Senior level,170000.0,Senior/Lead,CA
3626110567,2.0,Full-time,Not Specified,72500.0,Engineering,IA
3627141928,13.0,Full-time,Associate,73840.0,Engineering,IN
3636873993,2.0,Full-time,Not Specified,38480.0,Other,MS
3642223753,46.0,Contract,Not Specified,124800.0,Education,NY
3644730777,16.0,Contract,Not Specified,200000.0,Other,US - Unspecified
3649948789,20.0,Full-time,Not Specified,72500.0,Administrative/Office Support,NY
3651735073,2.0,Full-time,Not Specified,105000.0,Management/Executive,MI
3651779099,1.0,Full-time,Not Specified,57250.0,Sales,TN
3656167404,15.0,Full-time,Not Specified,60000.0,Administrative/Office Support,FL
3658924039,24.0,Full-time,Not Specified,85000.0,Engineering,CO
3659406780,3.0,Full-time,Not Specified,39000.0,Other,NY
3663813835,24.0,Full-time,Not Specified,47500.0,Finance,NJ
3678077169,25.0,Contract,Not Specified,36400.0,Design,GA
3681437990,8.0,Full-time,Associate,66000.0,Other,WA
3684991720,2.0,Full-time,Not Specified,94640.0,Other,SC
3690117793,2.0,Contract,Not Specified,96000.0,Management/Executive,OR
